School,Rank,USNWR Ranking Research,USNWR Primary Care Ranking,Applications,Interviews,Percent_interviewed,Admits,Percent_admitted_post_II,MCAT,GPA,AOA,AOA_before_match,Internal_rank,PC_grades,PC_length,Clerkship_grades,NBME_or_in_house,MSPE_adj,Lecture_attendance,Home_hospital,Apps IS,IS II,IS Accepted,IS enrolled,Apps OOS,OOS II,OOS Accepted,OOS enrolled,Total apps,TOTAL II,total accepted,Total enrolled,post II % A,IS % post II-A,OOS % post II-A,A % rate,Step 1,Step 1 % pass,step 2,step 2 pass,OOS II/OOS applicants,Public/Private,OOS/IS matriculants,Median MCAT,Median GPA,class size,% of students OOS,apply OOS to public state school?,IS_A,OOS_A,IS_A/OOS_A,State
University of Virginia,31.0,31,19,"4,687",568,12%,470,83%,520.0,3.94,Yes,Yes,No,P/F,1.5 Years,A/B/C/F,Both,No,Optional,UVA University Hospital,641.0,133.0,116.0,73.0,3192.0,451.0,353.0,82.0,3833.0,584.0,469.0,155.0,80.3,87.22,78.27,12.24%,238.0,99%,256.0,99%,14.13,Public,53%,520.0,3.93,156.0,52.56%,Yes,18.096723868954758,11.05889724310777,1.636394974212566,VA
Boston University,32.0,33,44,"11,405",876,8%,465,53%,518.0,3.88,Yes,Yes,No,P/F,1.5 Years,H/HP/P/F,In-House Exams,Yes,Optional,Boston Medical Center,729.0,159.0,78.0,33.0,7355.0,846.0,393.0,119.0,8084.0,1005.0,471.0,152.0,46.9,49.06,46.45,5.83%,238.0,99%,250.0,99%,11.5,Private,78%,518.0,3.86,152.0,78.29%,,10.699588477366255,5.343303874915024,2.0024293448098933,MA
University of Maryland,33.0,27,16,"5,792",534,9%,288,54%,514.0,3.86,Yes,Yes,Yes,H/HP/P/F,2 Years,H/HP/P/F,In-House Exams,Yes,Required,University of Maryland Medical Center,908.0,266.0,180.0,109.0,3976.0,275.0,105.0,43.0,4884.0,541.0,285.0,152.0,52.7,67.67,38.18,5.84%,232.0,98%,244.0,99%,6.92,Public,28%,514.0,3.83,152.0,28.29%,Yes,19.823788546255507,2.640845070422535,7.506607929515419,MD
University of Rochester,34.0,36,14,"5,669",719,13%,318,44%,518.0,3.91,Yes,Yes,No,P/F,1 Year,H/HP/P/F,Both,Yes,Optional,Strong Memorial Hospital and Golisano Children’s Hospital,1208.0,144.0,82.0,33.0,3950.0,463.0,218.0,69.0,5158.0,607.0,300.0,102.0,49.4,56.94,47.08,5.82%,232.0,99%,246.0,100%,11.72,Private,68%,518.0,3.84,102.0,67.65%,,6.788079470198675,5.518987341772152,1.2299501792332461,NY
Brown University,35.0,36,19,"11,049",395,4%,307,78%,517.0,3.87,Yes,Yes,No,P/F,1.5 Years,H/HP/P/F,In-House Exams,No,Optional,,105.0,20.0,20.0,15.0,9033.0,355.0,270.0,129.0,9138.0,375.0,290.0,144.0,77.3,100.0,76.06,3.17%,234.0,100%,250.0,98%,3.93,Private,90%,517.0,3.83,144.0,89.58%,,19.047619047619047,2.9890401859847224,6.372486772486773,RI
University of Alabama,36.0,32,21,"4,700",494,11%,271,55%,511.0,3.9,Yes,Yes,Yes,P/F,2 Years,H/HP/P/F,Both,Yes,Optional,UAB Medicine,537.0,279.0,184.0,157.0,4076.0,206.0,100.0,29.0,4613.0,485.0,284.0,186.0,58.6,65.95,48.54,6.16%,233.0,98%,243.0,99%,5.05,Public,16%,510.0,3.86,202.0,14.36%,,34.26443202979516,2.4533856722276743,13.966182495344507,AL
University of Cincinnati,37.0,42,59,"5,862",668,11%,386,58%,517.0,3.91,Yes,Yes,Yes,P/F,2 Years,H/HP/P/F,Both,Yes,Optional,UC Medical Center,1171.0,251.0,157.0,85.0,3944.0,370.0,233.0,97.0,5115.0,621.0,390.0,182.0,62.8,62.55,62.97,7.62%,240.0,99%,250.0,99%,9.38,Public,53%,517.0,3.84,182.0,53.30%,YES,13.407344150298888,5.907707910750507,2.269466323123554,OH
University of Florida,38.0,36,51,"5,578",369,7%,230,62%,516.0,3.92,Yes,Yes,Yes,P/F,1.5 Years,A/B/C/D/F,Both,No,Optional,Shands Hospital,2430.0,317.0,182.0,112.0,2215.0,78.0,52.0,23.0,4645.0,395.0,234.0,135.0,59.2,57.41,66.67,5.04%,234.0,97%,251.0,100%,3.52,Public,17%,515.0,3.9,135.0,17.04%,,7.489711934156379,2.347629796839729,3.190329218106996,FL
University of Minnesota,39.0,42,5,"4,813",674,14%,357,53%,511.0,3.84,Yes,Yes,No,P/F,2 Years,H/HP/P/F,Both,No,Required,University of Minnesota Medical Center,1397.0,484.0,231.0,192.0,4856.0,444.0,121.0,49.0,6253.0,928.0,352.0,241.0,37.9,47.73,27.25,5.63%,229.0,96%,243.0,98%,9.14,Public,20%,513.0,3.81,240.0,20.42%,Maybe if ties,16.535433070866144,2.4917627677100493,6.6360382638120665,MN
University of Utah,40.0,41,32,"3,919",500,13%,168,34%,511.0,3.82,Yes,Yes,No,P/F,1 Year,H/HP/P/F,Both,Yes,Optional,University of Utah Hospital,567.0,365.0,122.0,89.0,2840.0,224.0,71.0,36.0,3407.0,589.0,193.0,125.0,32.8,33.42,31.7,5.66%,239.0,100%,247.0,97%,7.89,Public,29%,513.0,3.82,125.0,28.80%,if u mormon,21.516754850088184,2.5,8.606701940035274,UT
University of Wisconsin,41.0,33,12,"5,623",511,9%,286,56%,512.0,3.8,,,,,1.5 Years,,,,,,712.0,351.0,162.0,131.0,4367.0,211.0,132.0,40.0,5079.0,562.0,294.0,171.0,52.3,46.15,62.56,5.79%,238.0,100%,248.0,99%,4.83,Public,23%,513.0,3.8,171.0,23.39%,,22.752808988764045,3.022670025188917,7.527387640449438,WI
Albert Einstein,42.0,39,69,"9,785","1,071",11%,367,34%,516.0,3.88,Yes,Yes,No,P/F,1.5 Years,H/HP/LP/F,Both,No,Optional,Moses Medical Center,1645.0,354.0,141.0,92.0,6432.0,584.0,216.0,91.0,8077.0,938.0,357.0,183.0,38.1,39.83,36.99,4.42%,237.0,99%,247.0,99%,9.08,Private,50%,515.0,3.81,183.0,49.73%,,8.571428571428571,3.3582089552238807,2.552380952380952,NY
Indiana University,43.0,42,36,"6,805","1,075",16%,588,55%,512.0,3.9,Yes,Yes,No,P/F,2 Years,H/HP/P/F,Both,Yes,Required,IU Health,682.0,466.0,346.0,291.0,5306.0,570.0,238.0,74.0,5988.0,1036.0,584.0,365.0,56.4,74.25,41.75,9.75%,232.0,99%,241.0,98%,10.74,Public,20%,512.0,3.84,360.0,20.56%,YES,50.733137829912025,4.485488126649076,11.310505433845092,IN
UC Irvine,44.0,48,41,"6,695",491,7%,227,46%,516.0,3.89,Yes,Yes,Yes,H/P/F,2 Years,H/P/F,NBME Based,Yes,Required,UCI Medical Center,4521.0,484.0,205.0,94.0,1637.0,74.0,30.0,10.0,6158.0,558.0,235.0,104.0,42.1,42.36,40.54,3.82%,238.0,99%,246.0,100%,4.52,Public,10%,516.0,3.85,104.0,9.62%,,4.53439504534395,1.832620647525962,2.474268229742682,CA
University of Iowa,45.0,39,22,"3,786",726,19%,292,40%,515.0,3.89,Yes,Yes,No,H/NH/P/F,1.5 Years,H/NH/P/F,In-House Exams,Yes,Required,University of Iowa Hospitals and Clinics system,333.0,242.0,125.0,104.0,3691.0,481.0,159.0,48.0,4024.0,723.0,284.0,152.0,39.3,51.65,33.06,7.06%,235.0,99%,243.0,99%,13.03,Public,32%,515.0,3.86,152.0,31.58%,YES,37.53753753753754,4.307775670549987,8.71390258182711,IA
UMass,46.0,45,10,"5,394","1,074",20%,400,37%,516.0,3.89,Yes,Yes,Yes,P/F,1.5 Years,H/HP/P/F,Both,Yes,Optional,UMass Memorial Medical Center,979.0,449.0,212.0,112.0,3505.0,385.0,179.0,50.0,4484.0,834.0,391.0,162.0,46.9,47.22,46.49,8.72%,233.0,100%,247.0,98%,10.98,Public,31%,516.0,3.82,162.0,30.86%,YES,21.654749744637385,5.106990014265335,4.240217757260002,MA
University of Miami,47.0,45,93-123,"11,017",535,5%,339,63%,515.0,3.85,Yes,Yes,Yes,P/F,1.5 Years,H/HP/P/F,In-House Exams,Yes,Optional,"University of Miami hospital, Jackson Memorial, and the Veterans Administration Hospital Miami",2105.0,262.0,178.0,100.0,6674.0,348.0,182.0,104.0,8779.0,610.0,360.0,204.0,59.0,67.94,52.3,4.10%,235.0,98%,246.0,98%,5.21,Private,51%,514.0,3.78,204.0,50.98%,,8.45605700712589,2.7270002996703626,3.1008639816240766,FL
Dartmouth (Geisel),48.0,45,24,"9,488",646,7%,272,42%,516.0,3.82,Yes,Yes,No,P/F,1.5 Years,H/HP/P/F,In-House Exams,Yes,Required,Dartmouth Hitchcock Medical Center,76.0,19.0,11.0,5.0,8283.0,655.0,246.0,87.0,8359.0,674.0,257.0,92.0,38.1,57.89,37.56,3.07%,237.0,100%,245.0,98%,7.91,Private,95%,516.0,3.77,92.0,94.57%,,14.473684210526317,2.969938428105759,4.873395378690629,NH
Wake Forest,49.0,48,80,"11,066",492,4%,269,55%,512.0,3.85,Yes,Yes,Yes,P/F,1.5 Years,H/HP/P/LP/F,Both,Yes,Optional,Atrium Wake Forest Baptist,822.0,95.0,76.0,41.0,8427.0,381.0,212.0,104.0,9249.0,476.0,288.0,145.0,60.5,80.0,55.64,3.11%,234.0,99%,252.0,100%,4.52,Private,72%,513.0,3.76,145.0,71.72%,,9.245742092457421,2.515723270440252,3.6751824817518246,NC
UC Davis,50.0,48,11,"7,849",558,7%,247,44%,512.0,3.69,No,No,No,P/F,2 Years,P/F,Both,No,Optional,UC Davis Medical Center,4800.0,498.0,239.0,123.0,2228.0,20.0,8.0,4.0,7028.0,518.0,247.0,127.0,47.7,47.99,40.0,3.51%,223.0,95%,238.0,98%,0.9,Public,3%,512.0,3.69,119.0,3.36%,NO NO NO,4.979166666666666,0.3590664272890485,13.866979166666665,CA
USF (Morsani),51.0,48,69,"5,686",856,15%,453,53%,519.0,3.93,Yes,No,No,H/HP/P/F,2 Years,H/HP/P/F,Both,Yes,Optional,"Tampa General Hospital, Moffitt Cancer Center, Tampa VA",2297.0,453.0,240.0,119.0,3038.0,233.0,156.0,93.0,5335.0,686.0,396.0,212.0,57.7,52.98,66.95,7.42%,237.0,99%,245.0,96%,7.67,Public,44%,516.0,3.8,,,,10.44841097083152,5.1349572086899276,2.0347610595760357,FL
Georgetown University,53.0,55,89,"17,882","1,198",7%,429,36%,515.0,3.89,Yes,Yes,No,P/F,1.5 Years,H/HP/P/F,In-House Exams,Yes,Optional,MedStar Georgetown Hospital and MedStar Washington Hospital,70.0,13.0,6.0,6.0,14394.0,1016.0,384.0,197.0,14464.0,1029.0,390.0,203.0,37.9,46.15,37.8,2.70%,232.0,99%,246.0,98%,7.06,Private,97%,513.0,3.79,200.0,98.50%,,8.571428571428571,2.6677782409337225,3.212946428571428,DC
Tufts University,54.0,55,51,"12,237",792,6%,546,69%,515.0,3.85,No,No,Yes,P/F,1.5 Years,H/HP/P/LP/F,In-House Exams,Yes,Optional,Tufts Medical Center,945.0,167.0,104.0,54.0,11069.0,654.0,398.0,146.0,12014.0,821.0,502.0,200.0,61.1,62.28,60.86,4.18%,235.0,98%,246.0,99%,5.91,Private,73%,515.0,3.78,200.0,73.00%,,11.005291005291005,3.595627427951938,3.0607428677780435,MA
University of Connecticut,55.0,,,"4,030",342,8%,218,64%,513.0,3.85,No,,Yes,P/F,1.5 Years,H/P/F,In-House Exams,Yes,Required,John Dempsey Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical University of South Carolina,56.0,,,"1,334",395,30%,210,53%,512.0,3.92,Yes,Yes,Yes,P/F,1.5 Years,H/HP/P/F,In-House Exams,Yes,Optional,MUSC Health University Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McGovern (Houston),57.0,53,84,"5,616","1,031",18%,413,40%,513.0,3.92,Yes,Yes,No,H/HP/P/BP/F,2 Years,H/HP/P/BP/F,Both,Yes,Required,"Memorial Hermann-Texas Medical Center, Children’s Memorial Hermann Hospital, Harris Health Lyndon B. Johnson Hospital, John S. Dunn Behavioral Sciences Center at UTHealth Houston, The University of Texas MD Anderson Cancer Center, TIRR Memorial Hermann",4247.0,861.0,377.0,229.0,1123.0,41.0,22.0,11.0,5370.0,902.0,399.0,240.0,44.2,43.79,53.66,7.43%,236.0,99%,245.0,97%,3.65,Public,5%,513.0,3.88,240.0,4.58%,,8.876854250058864,1.9590382902938557,4.531230601280048,TX
George Washington,58.0,60,78,"12,107",912,8%,297,33%,512.0,3.81,Yes,Yes,No,P/F,1.5 Years,H/HP/P/F,Both,Yes,Optional,George Washington Hospital,0.0,0.0,0.0,0.0,11772.0,1149.0,329.0,178.0,11772.0,1149.0,329.0,178.0,28.6,,28.63,2.79%,226.0,95%,243.0,98%,,Private,100%,513.0,3.78,180.0,98.89%,,,2.7947672443085287,,DC
